Country,2014 Pop,2015 Pop,2016 Pop,2017 Pop,2018 Pop,2019 Pop,2020 Pop
Afghanistan,33400000,34400000,35400000,36300000,37200000,38000000,38900000
Albania,2900000,2890000,2890000,2880000,2880000,2880000,2880000
Algeria,38900000,39700000,40600000,41400000,42200000,43100000,43900000
Andorra,79200,78000,77300,77000,77000,77100,77300
Angola,26900000,27900000,28800000,29800000,30800000,31800000,32900000
Antigua and Barbuda,92600,93600,94500,95400,96300,97100,97900
Argentina,42600000,43100000,43500000,43900000,44400000,44800000,45200000
Armenia,2910000,2930000,2940000,2940000,2950000,2960000,2960000
Australia,23600000,23900000,24300000,24600000,24900000,25200000,25500000
Austria,8620000,8680000,8750000,8820000,8890000,8960000,9010000
Azerbaijan,9510000,9620000,9740000,9850000,9950000,10000000,10100000
Bahamas,371000,374000,378000,382000,386000,389000,393000
Bahrain,1340000,1370000,1430000,1490000,1570000,1640000,1700000
Bangladesh,155000000,156000000,158000000,160000000,161000000,163000000,165000000
Barbados,285000,285000,286000,286000,287000,287000,287000
Belarus,9430000,9440000,9450000,9450000,9450000,9450000,9450000
Belgium,11200000,11300000,11400000,11400000,11500000,11500000,11600000
Belize,353000,361000,368000,376000,383000,390000,398000
Benin,10300000,10600000,10900000,11200000,11500000,11800000,12100000
Bhutan,719000,728000,737000,746000,754000,763000,772000
Bolivia,10700000,10900000,11000000,11200000,11400000,11500000,11700000
Bosnia and Herzegovina,3480000,3430000,3390000,3350000,3320000,3300000,3280000
Botswana,2090000,2120000,2160000,2210000,2250000,2300000,2350000
Brazil,203000000,204000000,206000000,208000000,209000000,211000000,213000000
Brunei,410000,415000,420000,424000,429000,433000,437000
Bulgaria,7250000,7200000,7150000,7100000,7050000,7000000,6950000
Burkina Faso,17600000,18100000,18600000,19200000,19800000,20300000,20900000
Burundi,9840000,10200000,10500000,10800000,11200000,11500000,11900000
Cambodia,15300000,15500000,15800000,16000000,16200000,16500000,16700000
Cameroon,22700000,23300000,23900000,24600000,25200000,25900000,26500000
Canada,35700000,36000000,36400000,36700000,37100000,37400000,37700000
Cape Verde,518000,525000,531000,537000,544000,550000,556000
Central African Republic,4460000,4490000,4540000,4600000,4670000,4750000,4830000
Chad,13700000,14100000,14600000,15000000,15500000,15900000,16400000
Chile,17800000,18000000,18200000,18500000,18700000,19000000,19100000
China,1400000000,1410000000,1410000000,1420000000,1430000000,1430000000,1440000000
Colombia,47000000,47500000,48200000,48900000,49700000,50300000,50900000
Comoros,759000,777000,796000,814000,832000,851000,870000
Costa Rica,4800000,4850000,4900000,4950000,5000000,5050000,5090000
Cote d'Ivoire,22600000,23200000,23800000,24400000,25100000,25700000,26400000
Croatia,4260000,4230000,4210000,4180000,4160000,4130000,4110000
Cuba,11300000,11300000,11300000,11300000,11300000,11300000,11300000
Cyprus,1150000,1160000,1170000,1180000,1190000,1200000,1210000
Czech Republic,10600000,10600000,10600000,10600000,10700000,10700000,10700000
Dem. Rep. of Congo,73800000,76200000,78800000,81400000,84100000,86800000,89600000
Denmark,5660000,5690000,5710000,5730000,5750000,5770000,5790000
Djibouti,899000,914000,929000,944000,959000,974000,988000
Dominica,71100,71200,71300,71500,71600,71800,72000
Dominican Republic,10200000,10300000,10400000,10500000,10600000,10700000,10800000
Ecuador,16000000,16200000,16500000,16800000,17100000,17400000,17600000
Egypt,90400000,92400000,94400000,96400000,98400000,100000000,102000000
El Salvador,6300000,6330000,6360000,6390000,6420000,6450000,6490000
Equatorial Guinea,1120000,1170000,1220000,1260000,1310000,1360000,1400000
Eritrea,3310000,3340000,3380000,3410000,3450000,3500000,3550000
Estonia,1320000,1320000,1320000,1320000,1320000,1330000,1330000
Eswatini,1100000,1100000,1110000,1120000,1140000,1150000,1160000
Ethiopia,98100000,101000000,104000000,106000000,109000000,112000000,115000000
Fed. Sts. Micronesia,107000,109000,110000,111000,113000,114000,115000
Fiji,866000,869000,872000,877000,883000,890000,896000
Finland,5460000,5480000,5500000,5510000,5520000,5530000,5540000
France,64200000,64500000,64700000,64800000,65000000,65100000,65300000
Gabon,1880000,1950000,2010000,2060000,2120000,2170000,2230000
Gambia,2020000,2090000,2150000,2210000,2280000,2350000,2420000
Georgia,4040000,4020000,4020000,4010000,4000000,4000000,3990000
Germany,81500000,81800000,82200000,82700000,83100000,83500000,83800000
Ghana,27200000,27800000,28500000,29100000,29800000,30400000,31100000
